Review,Aspect
The settings are perfect for all hair types,Adaptability
with lots of settings,Adaptability
heating element has died,Durability
"Also, the diffuser does not stay on at all.",Ease of Use
and it won't stay on it at all. Just flys off. I don't see one that will work on this,Ease of Use
My only complaint is that the concentrator doesn't fit perfectly. It can pop off in the middle of everything,Ease of Use
burns clients on the medium setting,Ergonomics
I don't get hot and sweaty either,Interference
"Oh! and my hair isn't as frizzy either! Best beauty purchase I've ever made!
",Interference
"Quiet, doesn't make me feel like I'm standing next to a jet engine",Interference
without all the frizz,Interference
Best dryer I EVER BOUGHT!!!,Performance
It does not get hot enough on the low setting ,Performance
This dryer is excellent,Performance
This is a great hair ,Performance
way more effective than all the ones I've used before,Performance
Dries my hair quickly ,Use Efficiency
dries my medium length hair quickly,Use Efficiency
Dries very fast without a lot of heat,Use Efficiency
It dries my hair in half the time,Use Efficiency
It drys my hair so fast,Use Efficiency
It is attractive,Aesthetics
It's attractive,Aesthetics
don't stay together too well.,Durability
Cleans up good- highly recommended.,Ease of Reprocessing
if the writing is left on for more than a few days it gets stuck,Ease of Reprocessing
increasingly difficult to wipe off ,Ease of Reprocessing
it would not come off.,Ease of Reprocessing
The board wipes off pretty easily ,Ease of Reprocessing
Great for my desk at work,Ease of Storage
Its small ,Ease of Storage
convenient ,Ease of Use
The dry erase marker easily fits on the top section to keep it out of the way on your desk,Ease of Use
This is conveneint,Ease of Use
Very handy little tool,Ease of Use
They're pretty wobbly,Interference
 functional,Performance
fully functional,Performance
Great daily To Do list,Performance
The board itself is of good quality ,Performance
"However, for me, they do not work good with hot beverages.
",Adaptability
"I sometimes like to drink hot tea in it. This is a great replacement, I can use the hot without worrying about melted plastic and it fits well in that hole (it's a bit smaller in length but still comfortable to drink from).
",Adaptability
they come in different sizes in length/width,Adaptability
attractive,Aesthetics
beautiful,Aesthetics
These are beautiful,Aesthetics
durable,Durability
easy to clean,Ease of Reprocessing
Easy to clean,Ease of Reprocessing
easy to clean,Ease of Reprocessing
easy to use,Ease of Use
"bamboo is very natural (in texture, like not cold metal against your teeth/mouth) ",Ergonomics
I don't taste wood,Interference
"threw them out because the bamboo taste was very strong and didn't go away after 2 cycles in the dishwasher
",Interference
these straws have been awesome,Performance
They work great,Performance
work great for cold beverages,Performance
reasonable price,Price
Worth the buy,Price
Perfect for small trash cans or even for storing items when you don't want to use plastic,Adaptability
These fit perfectly in my Full Circle Fresh Air Odor-Free Kitchen Compost Collector,Adaptability
They are too big for my sink trash collector,Adaptability
"Every time I remove the bag from compost bin, its broken and leaking fluids",Durability
Fragile,Durability
I've only had a few tear,Durability
some rip,Durability
Strong,Durability
The bags hold up really well,Durability
These are durable ,Durability
these bags rip and break so easily,Durability
They are sturdy enough that they hold together when fairly full.,Durability
But they still work ,Performance
Great composter bags,Performance
These are great,Performance
These work ok,Performance
"They actually do their job!
",Performance
The price is good,Price
I used these to start a variety of herbs from seed,Adaptability
they are the perfect size to fit on most windowsills,Adaptability
if they get wet they fall apart,Durability
These are very flimsy ,Durability
"Way to flimsy. They break to easily.
",Durability
" instructions were very clear and it's easy to use.
",Ease of Use
and transplanting imto a larger planter was very easy,Ease of Use
easy to use,Ease of Use
Easy to use,Ease of Use
so easy to use,Ease of Use
They are easy ,Ease of Use
This was so simple and easy to use,Ease of Use
Good product,Performance
Great for starting seeds for transplanting sprouts later,Performance
"My herbs are thriving as the pots slowly disintegrate into the potting soil in the planter. .
",Performance
perfect product for growing anything from seed,Performance
worked like it said,Performance
Works ok,Performance
Although the price was comparatively low ,Price
good price,Price
great price,Price
my seeds popped up in less than 1 week,Use Efficiency
seeds germinated quickly and grew,Use Efficiency
They all sprouted within a week or two,Use Efficiency
Like the way they have a slight 'twist' to conform to what you're washing,Adaptability
Durable,Durability
No problems with disintegration,Durability
"the scrubber part does fall apart rather quickly.
",Durability
These aren't very durable,Durability
they don't last long at all,Durability
Very durable,Durability
but I like that you can throw them into the washing machine,Ease of Reprocessing
Easily cleaned/sterilized in microwave,Ease of Reprocessing
Easily washes in the top rack of the dishwasher,Ease of Reprocessing
Rinse out super easily,Ease of Reprocessing
I never get the stinky smell anymore,Interference
No problems with disintegration or smell,Interference
SMELL TOXIC WHEN OUT OF PACKAGE,Interference
"They don't smell over time like other sponges.
",Interference
Best kitchen sponges I've ever had,Performance
effective,Performance
Perform as well as the sponges I've used for years,Performance
These are great sponges,Performance
they were a dream to work with,Performance
Wonderful Sponges,Performance
"Oh, and no more expensive.
",Price
TOXIC DO NOT USE_,Safety
"They work well for faces and hands, as well as for things like heating up tortillas, laying over bread while it rises, etc",Adaptability
4 stars as they aren't precisely square,Aesthetics
Colorful,Aesthetics
Colors are nice ,Aesthetics
Fun group of colors,Aesthetics
I do like the style,Aesthetics
"I tried folding one as I would do for a dinner party, and they did not hold their shape",Aesthetics
kids like the colors,Aesthetics
Love the colors,Aesthetics
lovely colors,Aesthetics
"Plenty of colors to choose from at any given time, which is nice",Aesthetics
The colors are as bright as the photo indicates,Aesthetics
The colors are nice and bright,Aesthetics
the colors are vivid and cheery,Aesthetics
The colors are wonderful. ,Aesthetics
The sizing is *terrible*.,Aesthetics
The texture is pleasing ,Aesthetics
"there are twelve different colors, so that is fun",Aesthetics
These are beautiful,Aesthetics
These really brighten up my kitchen,Aesthetics
They are beautiful ,Aesthetics
"They look very nice,",Aesthetics
They nice and big,Aesthetics
Very pretty colors,Aesthetics
while they would benefit from ironing they look fine without,Aesthetics
colors have held well ,Durability
have not faded after several months of use,Durability
"Holds up well in the wash and does not leak color.
",Durability
"I wash napkins with only napkins, and they've never bled",Durability
No noticeable fading after washing,Durability
stands up great to everyday use ,Durability
They do however fade with one wash and look like I have had them for years,Durability
They feel heavy duty but not stiff,Durability
They haven't dulled in color at all from the washings,Durability
they hold their color well,Durability
"very thin, and flimsy",Durability
We washed and dried them normally in cold water and they turned out fine,Durability
but the only down fall is that they wrinkle when they are wash and dried so you have to iron them,Ease of Reprocessing
easy to take care of,Ease of Reprocessing
easy to wash ,Ease of Reprocessing
"easy to wash and just needs a brief hot iron to smooth out.
",Ease of Reprocessing
I don't iron them. Just smooth with my hands as I fold,Ease of Reprocessing
it's hard to get grease and oil stains out of these napkins,Ease of Reprocessing
just wish they would iron a little easier,Ease of Reprocessing
no real need for pressing after drying ,Ease of Reprocessing
"No staining, either!
",Ease of Reprocessing
they are so wrinkled they are hard to fold ,Ease of Reprocessing
They come out of the dryer wrinkled but if you fold them after a day the wrinkles fall out,Ease of Reprocessing
They wash nice ,Ease of Reprocessing
They wash well ,Ease of Reprocessing
wash well,Ease of Reprocessing
"and the fabric is soft, not scratchy",Ergonomics
soft,Ergonomics
Soft,Ergonomics
They are nice and soft ,Ergonomics
"Also, they are big enough so we use them for two or more meals before a wash.",Ease of Reprocessing
I'm using them all the time.,Ease of Use
absorbent,Performance
"As far as napkins go, these work out for me",Performance
but good quality,Performance
"but they're great for everyday use,",Performance
Exactly what I wanted for everyday napkins,Performance
Great general dinner napkins,Performance
meet our needs,Performance
"the fabric works well as a napkin.
",Performance
these napkins are great,Performance
considering how inexpensive they are,Price
"For what I paid, I'll use these happily",Price
"The price is very good.
",Price
They're inexpensive,Price
Also the napkins are a great size,Aesthetics
As I stated not a fabric of any true weight.,Aesthetics
"Nice weight, too",Aesthetics
the fabric is a little thinner than I was expecting,Aesthetics
The fabric is perfect.,Aesthetics
The quality of the workmanship is good,Aesthetics
They're large,Aesthetics
They are perfect for packing in school lunches,Adaptability
 have a high-quality look to them,Aesthetics
eye appealing,Aesthetics
"and the comfort, playability, and durability are evident upon first use",Durability
are very sturdy,Durability
as sturdy as regular plastic utensils,Durability
"better than plastic silverware,it is sturdier",Durability
But the true test of these was seeing how durable the utensils were.,Durability
product is sturdy,Durability
They are super durable ,Durability
"they are thin near the tips, which is good for spearing things, but when I bent the tip, I could easily break it off with no problem",Durability
They're very sturdy ,Durability
You can wash and re-use easily,Ease of Reprocessing
also comfortable,Ergonomics
have a nice feel ,Ergonomics
"I felt much better using them than plastic ones.
",Aesthetics
"The box will last me quite awhile, too, which is great",Aesthetics
"The packaging is great too, so folks can easily grab whichever utensil they want.
",Aesthetics
dissappointed in the quality of the forks,Performance
